ID_ESTUDIO,CVE_ACUIF,ACUIFERO,NOM_ACUIF,CVE_EDO,NOM_EDO,ESTADO,
8351,0810,0810 SAMALAYUCA,SAMALAYUCA,08,CHIHUAHUA,08 CHIHUAHUA,
8352,0840,0840 VILLALBA,VILLALBA,08,CHIHUAHUA,08 CHIHUAHUA,
8353,0840,0840 VILLALBA,VILLALBA,08,CHIHUAHUA,08 CHIHUAHUA,
8355,0805,0805 CUAUHTÉMOC,CUAUHTÉMOC,08,CHIHUAHUA,08 CHIHUAHUA,
8356,0801,0801 ASCENSIÓN,ASCENSIÓN,08,CHIHUAHUA,08 CHIHUAHUA,
8357,0806,0806 CASAS GRANDES,CASAS GRANDES,08,CHIHUAHUA,08 CHIHUAHUA,
8358,0805,0805 CUAUHTÉMOC,CUAUHTÉMOC,08,CHIHUAHUA,08 CHIHUAHUA,
8359,0831,0831 MEOQUI-DELICIAS,MEOQUI-DELICIAS,08,CHIHUAHUA,08 CHIHUAHUA,
8360,0808,0808 JANOS,JANOS,08,CHIHUAHUA,08 CHIHUAHUA,
8361,0832,0832 JIMÉNEZ-CAMARGO,JIMÉNEZ-CAMARGO,08,CHIHUAHUA,08 CHIHUAHUA,
8362,0801,0801 ASCENSIÓN,ASCENSIÓN,08,CHIHUAHUA,08 CHIHUAHUA,
8362,0805,0805 CUAUHTÉMOC,CUAUHTÉMOC,08,CHIHUAHUA,08 CHIHUAHUA,
8362,0806,0806 CASAS GRANDES,CASAS GRANDES,08,CHIHUAHUA,08 CHIHUAHUA,
8362,0807,0807 EL SAUZ-ENCINILLAS,EL SAUZ-ENCINILLAS,08,CHIHUAHUA,08 CHIHUAHUA,
